metabat2.megahit.33_1_8	K04085
metabat2.megahit.33_1_10	K22044
metabat2.megahit.33_1_12	K03699
metabat2.megahit.33_1_13	K05825
metabat2.megahit.33_1_14	K07636
metabat2.megahit.33_1_15	K07658
metabat2.megahit.33_1_16	K02039
metabat2.megahit.33_1_17	K02036
metabat2.megahit.33_1_18	K02038
metabat2.megahit.33_1_19	K02037
metabat2.megahit.33_1_20	K02040
metabat2.megahit.33_1_21	K00928
metabat2.megahit.33_1_22	K00003
metabat2.megahit.33_1_23	K01733
metabat2.megahit.33_1_24	K00872
metabat2.megahit.33_1_25	K01424
metabat2.megahit.33_1_26	K02990
metabat2.megahit.33_1_27	K03111
metabat2.megahit.33_1_28	K02963
metabat2.megahit.33_1_32	K02939
metabat2.megahit.33_1_33	K02314
metabat2.megahit.33_1_36	K02315
metabat2.megahit.33_1_37	K07105
metabat2.megahit.33_1_38	K07035
metabat2.megahit.33_1_39	K01875
metabat2.megahit.33_1_40	K07080
metabat2.megahit.33_1_45	K07258
metabat2.megahit.33_1_47	K06147
metabat2.megahit.33_1_48	K06147
metabat2.megahit.33_2_1	K13993
metabat2.megahit.33_2_3	K19302
metabat2.megahit.33_2_4	K03657
metabat2.megahit.33_2_7	K02032
metabat2.megahit.33_2_7	K10823

metabat2.megahit.33_2_8	K02031
metabat2.megahit.33_2_9	K02034
metabat2.megahit.33_2_10	K02033
metabat2.megahit.33_2_11	K02035
metabat2.megahit.33_2_11	K15584

metabat2.megahit.33_2_12	K00244
metabat2.megahit.33_2_14	K01975
metabat2.megahit.33_2_15	K04565
metabat2.megahit.33_2_19	K03088
metabat2.megahit.33_2_22	K02010
metabat2.megahit.33_2_23	K02011
metabat2.megahit.33_2_26	K00859
metabat2.megahit.33_2_26	K01734

metabat2.megahit.33_2_29	K01258
metabat2.megahit.33_2_30	K00826
metabat2.megahit.33_2_32	K06131
metabat2.megahit.33_2_33	K06207
metabat2.megahit.33_2_35	K04757
metabat2.megahit.33_2_37	K03978
metabat2.megahit.33_2_38	K01338
metabat2.megahit.33_2_39	K03544
metabat2.megahit.33_2_40	K01358
metabat2.megahit.33_2_41	K03545
metabat2.megahit.33_2_42	K00566
metabat2.megahit.33_2_44	K03431
metabat2.megahit.33_2_45	K00970
metabat2.megahit.33_2_45	K00974

metabat2.megahit.33_2_46	K09458
metabat2.megahit.33_2_47	K02078
metabat2.megahit.33_2_48	K00059
metabat2.megahit.33_2_49	K00645
metabat2.megahit.33_2_50	K02371
metabat2.megahit.33_2_51	K00648
metabat2.megahit.33_2_52	K02372
metabat2.megahit.33_2_54	K04940
metabat2.megahit.33_2_55	K00177
metabat2.megahit.33_2_56	K00175
metabat2.megahit.33_2_57	K00174
metabat2.megahit.33_2_58	K00176
metabat2.megahit.33_2_60	K00929
metabat2.megahit.33_2_61	K00634
metabat2.megahit.33_2_63	K18672
metabat2.megahit.33_2_64	K07282
metabat2.megahit.33_2_70	K06334
metabat2.megahit.33_2_71	K06333
metabat2.megahit.33_2_73	K06418
metabat2.megahit.33_2_73	K06419
metabat2.megahit.33_2_73	K06420
metabat2.megahit.33_2_73	K06421

metabat2.megahit.33_2_77	K06413
metabat2.megahit.33_2_82	K07112
metabat2.megahit.33_2_85	K06147
metabat2.megahit.33_2_86	K06147
metabat2.megahit.33_2_88	K02049
metabat2.megahit.33_2_89	K02050
metabat2.megahit.33_2_90	K02051
metabat2.megahit.33_2_91	K00336
metabat2.megahit.33_2_92	K15022
metabat2.megahit.33_2_95	K19302
metabat2.megahit.33_2_96	K00382
metabat2.megahit.33_2_97	K00283
metabat2.megahit.33_2_98	K00282
metabat2.megahit.33_2_99	K02437
metabat2.megahit.33_2_100	K00605
metabat2.megahit.33_2_101	K01448
metabat2.megahit.33_2_102	K02996
metabat2.megahit.33_2_103	K02871
metabat2.megahit.33_2_104	K06173
metabat2.megahit.33_2_105	K16783
metabat2.megahit.33_2_105	K16785

metabat2.megahit.33_2_106	K16786
metabat2.megahit.33_2_106	K16787

metabat2.megahit.33_2_107	K16786
metabat2.megahit.33_2_107	K16787

metabat2.megahit.33_2_108	K02879
metabat2.megahit.33_2_109	K03040
metabat2.megahit.33_2_110	K02986
metabat2.megahit.33_2_111	K02948
metabat2.megahit.33_2_112	K02952
metabat2.megahit.33_2_113	K02518
metabat2.megahit.33_2_115	K00939
metabat2.megahit.33_2_116	K03076
metabat2.megahit.33_2_117	K02876
metabat2.megahit.33_2_118	K02907
metabat2.megahit.33_2_119	K02988
metabat2.megahit.33_2_120	K02881
metabat2.megahit.33_2_121	K02933
metabat2.megahit.33_3_2	K07095
metabat2.megahit.33_4_3	K03809
metabat2.megahit.33_4_5	K07088
metabat2.megahit.33_4_10	K01011
metabat2.megahit.33_4_10	K21028

metabat2.megahit.33_4_13	K06872
metabat2.megahit.33_4_14	K02003
metabat2.megahit.33_4_15	K02004
metabat2.megahit.33_4_18	K01255
metabat2.megahit.33_4_20	K07238
metabat2.megahit.33_4_22	K06317
metabat2.megahit.33_4_23	K02897
metabat2.megahit.33_4_24	K06990
metabat2.megahit.33_4_24	K09141

metabat2.megahit.33_4_25	K04069
metabat2.megahit.33_4_27	K00943
metabat2.megahit.33_4_30	K02341
metabat2.megahit.33_4_33	K15460
metabat2.megahit.33_4_34	K07056
metabat2.megahit.33_4_36	K06915
metabat2.megahit.33_4_39	K01874
metabat2.megahit.33_4_40	K03424
metabat2.megahit.33_4_41	K05985
metabat2.megahit.33_4_42	K02528
metabat2.megahit.33_4_44	K21903
metabat2.megahit.33_4_46	K02051
metabat2.megahit.33_4_47	K02050
metabat2.megahit.33_4_47	K15554

metabat2.megahit.33_4_48	K02049
metabat2.megahit.33_4_48	K15555

metabat2.megahit.33_4_52	K06213
metabat2.megahit.33_4_53	K06373
metabat2.megahit.33_4_54	K06374
metabat2.megahit.33_4_55	K03406
metabat2.megahit.33_4_58	K00919
metabat2.megahit.33_4_60	K06310
metabat2.megahit.33_4_61	K06296
metabat2.megahit.33_4_61	K06311

metabat2.megahit.33_4_62	K06297
metabat2.megahit.33_4_63	K06387
metabat2.megahit.33_4_64	K01449
metabat2.megahit.33_4_65	K06313
metabat2.megahit.33_4_66	K01776
metabat2.megahit.33_4_67	K06714
metabat2.megahit.33_4_68	K18012
metabat2.megahit.33_4_69	K01843
metabat2.megahit.33_4_71	K07456
metabat2.megahit.33_4_72	K01844
metabat2.megahit.33_4_73	K18011
metabat2.megahit.33_5_2	K07478
metabat2.megahit.33_5_3	K01893
metabat2.megahit.33_5_4	K01869
metabat2.megahit.33_5_8	K02472
metabat2.megahit.33_5_14	K04487
metabat2.megahit.33_5_15	K04488
metabat2.megahit.33_5_18	K01872
metabat2.megahit.33_5_22	K07447
metabat2.megahit.33_5_24	K03711
metabat2.megahit.33_5_25	K12574
metabat2.megahit.33_5_29	K07082
metabat2.megahit.33_5_31	K08303
metabat2.megahit.33_5_32	K00876
metabat2.megahit.33_5_33	K05515
metabat2.megahit.33_5_34	K03091
metabat2.megahit.33_5_36	K00014
metabat2.megahit.33_6_3	K04034
metabat2.megahit.33_6_6	K01887
metabat2.megahit.33_6_9	K21755
metabat2.megahit.33_6_10	K07112
metabat2.megahit.33_6_12	K07112
metabat2.megahit.33_6_13	K07456
metabat2.megahit.33_6_14	K08303
metabat2.megahit.33_6_15	K09888
metabat2.megahit.33_6_16	K01890
metabat2.megahit.33_6_17	K01889
metabat2.megahit.33_6_18	K03437
metabat2.megahit.33_6_19	K02887
metabat2.megahit.33_6_20	K02916
metabat2.megahit.33_6_21	K02520
metabat2.megahit.33_6_24	K03088
metabat2.megahit.33_6_25	K01439
metabat2.megahit.33_6_26	K03798
metabat2.megahit.33_6_27	K01868
metabat2.megahit.33_6_28	K01892
metabat2.megahit.33_6_29	K20461
metabat2.megahit.33_8_3	K07795
metabat2.megahit.33_8_5	K07793
metabat2.megahit.33_8_6	K00606
metabat2.megahit.33_8_7	K00097
metabat2.megahit.33_8_7	K22024

metabat2.megahit.33_8_9	K22129
metabat2.megahit.33_8_11	K01156
metabat2.megahit.33_8_11	K07316

metabat2.megahit.33_8_17	K03153
metabat2.megahit.33_8_18	K01714
metabat2.megahit.33_8_20	K07080
metabat2.megahit.33_8_22	K01738
metabat2.megahit.33_8_25	K01485
metabat2.megahit.33_8_26	K01667
metabat2.megahit.33_8_31	K04070
metabat2.megahit.33_9_1	K15342
metabat2.megahit.33_9_2	K07464
metabat2.megahit.33_9_3	K07012
metabat2.megahit.33_9_4	K19116
metabat2.megahit.33_9_5	K19115
metabat2.megahit.33_9_5	K19118

metabat2.megahit.33_9_6	K19114
metabat2.megahit.33_9_8	K19142
metabat2.megahit.33_9_9	K19141
metabat2.megahit.33_9_10	K09000
metabat2.megahit.33_9_12	K09127
metabat2.megahit.33_9_13	K07016
metabat2.megahit.33_9_13	K19076

metabat2.megahit.33_9_14	K07061
metabat2.megahit.33_9_16	K19689
metabat2.megahit.33_9_19	K00354
metabat2.megahit.33_9_22	K09779
metabat2.megahit.33_10_3	K03787
metabat2.megahit.33_10_4	K04771
metabat2.megahit.33_10_9	K07652
metabat2.megahit.33_10_10	K07658
metabat2.megahit.33_10_10	K07668

metabat2.megahit.33_10_11	K01537
metabat2.megahit.33_10_12	K17734
metabat2.megahit.33_10_18	K01486
metabat2.megahit.33_10_20	K03310
metabat2.megahit.33_10_22	K03497
metabat2.megahit.33_10_23	K03496
metabat2.megahit.33_10_34	K22278
metabat2.megahit.33_10_35	K03497
metabat2.megahit.33_10_36	K03501
metabat2.megahit.33_10_37	K03495
metabat2.megahit.33_10_38	K03650
metabat2.megahit.33_10_39	K06346
metabat2.megahit.33_10_40	K03217
metabat2.megahit.33_10_41	K03536
metabat2.megahit.33_10_42	K02914
metabat2.megahit.33_10_43	K02313
metabat2.megahit.33_10_44	K02338
metabat2.megahit.33_10_45	K14761
metabat2.megahit.33_10_46	K03629
metabat2.megahit.33_10_47	K02470
metabat2.megahit.33_10_48	K02469
metabat2.megahit.33_10_49	K04749
metabat2.megahit.33_10_50	K04757
metabat2.megahit.33_10_51	K03090
metabat2.megahit.33_10_51	K03091

metabat2.megahit.33_11_1	K07260
metabat2.megahit.33_11_2	K06147
metabat2.megahit.33_11_3	K06147
metabat2.megahit.33_11_11	K03152
metabat2.megahit.33_11_13	K03189
metabat2.megahit.33_11_13	K04652

metabat2.megahit.33_11_18	K05601
metabat2.megahit.33_11_19	K00239
metabat2.megahit.33_11_19	K00244
metabat2.megahit.33_11_19	K17363

metabat2.megahit.33_11_21	K09155
metabat2.megahit.33_11_22	K03340
metabat2.megahit.33_11_23	K01919
metabat2.megahit.33_11_27	K01990
metabat2.megahit.33_11_29	K09936
metabat2.megahit.33_11_30	K09936
metabat2.megahit.33_11_31	K03499
metabat2.megahit.33_11_32	K03498
metabat2.megahit.33_11_33	K04047
metabat2.megahit.33_11_35	K01990
metabat2.megahit.33_11_36	K01992
metabat2.megahit.33_11_38	K03648
metabat2.megahit.33_11_40	K00334
metabat2.megahit.33_11_40	K18330
metabat2.megahit.33_11_40	K22340

metabat2.megahit.33_11_41	K00335
metabat2.megahit.33_11_41	K18331
metabat2.megahit.33_11_41	K22339

metabat2.megahit.33_12_3	K03215
metabat2.megahit.33_12_6	K00243
metabat2.megahit.33_12_7	K01610
metabat2.megahit.33_12_9	K10672
metabat2.megahit.33_12_10	K10672
metabat2.megahit.33_12_11	K10671
metabat2.megahit.33_12_13	K10670
metabat2.megahit.33_13_1	K01992
metabat2.megahit.33_13_2	K01992
metabat2.megahit.33_13_6	K02483
metabat2.megahit.33_13_6	K07658
metabat2.megahit.33_13_6	K07668

metabat2.megahit.33_13_9	K03406
metabat2.megahit.33_13_12	K07507
metabat2.megahit.33_13_13	K01802
metabat2.megahit.33_13_13	K03768

metabat2.megahit.33_13_14	K02050
metabat2.megahit.33_13_15	K02049
metabat2.megahit.33_13_16	K00857
metabat2.megahit.33_13_17	K03426
metabat2.megahit.33_13_18	K11621
metabat2.megahit.33_13_19	K10947
metabat2.megahit.33_13_20	K05837
metabat2.megahit.33_13_21	K01151
metabat2.megahit.33_13_22	K18979
metabat2.megahit.33_13_23	K00639
metabat2.megahit.33_13_24	K09764
metabat2.megahit.33_13_25	K10773
metabat2.megahit.33_13_27	K18346
metabat2.megahit.33_13_28	K09766
metabat2.megahit.33_13_29	K00567
metabat2.megahit.33_13_30	K02016
metabat2.megahit.33_13_31	K02015
metabat2.megahit.33_13_32	K02013
metabat2.megahit.33_13_34	K03216
metabat2.megahit.33_13_35	K03324
metabat2.megahit.33_13_36	K00384
metabat2.megahit.33_13_37	K03671
metabat2.megahit.33_13_38	K10671
metabat2.megahit.33_13_39	K10670
metabat2.megahit.33_14_1	K00088
metabat2.megahit.33_14_2	K01951
metabat2.megahit.33_14_5	K07729
metabat2.megahit.33_14_7	K06919
metabat2.megahit.33_14_26	K00128
metabat2.megahit.33_14_26	K22445

metabat2.megahit.33_14_27	K01628
metabat2.megahit.33_14_27	K03077

metabat2.megahit.33_14_28	K08963
metabat2.megahit.33_14_29	K00772
metabat2.megahit.33_14_31	K07335
metabat2.megahit.33_14_32	K02056
metabat2.megahit.33_14_32	K06400

metabat2.megahit.33_14_34	K02057
metabat2.megahit.33_14_41	K01239
metabat2.megahit.33_14_42	K02010
metabat2.megahit.33_14_42	K02052
metabat2.megahit.33_14_42	K11072

metabat2.megahit.33_14_43	K02053
metabat2.megahit.33_14_43	K11070

metabat2.megahit.33_14_44	K02054
metabat2.megahit.33_14_45	K02055
metabat2.megahit.33_14_46	K07258
metabat2.megahit.33_14_46	K17836

metabat2.megahit.33_14_48	K03088
metabat2.megahit.33_14_52	K09700
metabat2.megahit.33_14_54	K01952
metabat2.megahit.33_14_55	K01588
metabat2.megahit.33_14_56	K00764
metabat2.megahit.33_14_57	K01933
metabat2.megahit.33_14_58	K11175
metabat2.megahit.33_14_59	K00602
