metabat1.spades.2_2_1	K00791
metabat1.spades.2_2_2	K03572
metabat1.spades.2_3_2	K03497
metabat1.spades.2_4_1	K03697
metabat1.spades.2_5_1	K01715
metabat1.spades.2_6_1	K07483
metabat1.spades.2_6_2	K07497
metabat1.spades.2_6_3	K07497
metabat1.spades.2_7_1	K08483
metabat1.spades.2_8_1	K06919
metabat1.spades.2_11_1	K02529
metabat1.spades.2_13_1	K02236
metabat1.spades.2_13_1	K02654

metabat1.spades.2_14_1	K01182
metabat1.spades.2_14_1	K01215

metabat1.spades.2_15_2	K01990
metabat1.spades.2_15_2	K09691
metabat1.spades.2_15_2	K09693

metabat1.spades.2_16_1	K02335
metabat1.spades.2_18_1	K07497
metabat1.spades.2_19_2	K01227
metabat1.spades.2_19_2	K07273
metabat1.spades.2_19_2	K21471

metabat1.spades.2_19_5	K03088
metabat1.spades.2_21_2	K03769
metabat1.spades.2_21_2	K07533

metabat1.spades.2_21_4	K07238
metabat1.spades.2_22_3	K07507
metabat1.spades.2_23_2	K06281
metabat1.spades.2_23_3	K06282
metabat1.spades.2_23_5	K04654
metabat1.spades.2_23_6	K04656
metabat1.spades.2_23_7	K03605
metabat1.spades.2_24_2	K11065
metabat1.spades.2_24_3	K02824
metabat1.spades.2_24_4	K07007
metabat1.spades.2_24_6	K03800
metabat1.spades.2_24_7	K01870
metabat1.spades.2_24_9	K02355
metabat1.spades.2_24_10	K03708
metabat1.spades.2_24_11	K19411
metabat1.spades.2_24_12	K19405
metabat1.spades.2_24_13	K03696
metabat1.spades.2_24_14	K04485
metabat1.spades.2_24_16	K07736
metabat1.spades.2_24_18	K00991
metabat1.spades.2_24_19	K01770
metabat1.spades.2_24_19	K12506

metabat1.spades.2_24_20	K01881
metabat1.spades.2_24_22	K01885
metabat1.spades.2_24_22	K09698

metabat1.spades.2_24_23	K01883
metabat1.spades.2_24_24	K03465
metabat1.spades.2_24_25	K03218
metabat1.spades.2_24_26	K06962
metabat1.spades.2_24_27	K03091
metabat1.spades.2_24_29	K02358
metabat1.spades.2_24_30	K03073
metabat1.spades.2_24_31	K02601
metabat1.spades.2_24_32	K02867
metabat1.spades.2_24_33	K02863
metabat1.spades.2_24_34	K02864
metabat1.spades.2_24_35	K02935
