vamb.megahit.39_1_1	K01939
vamb.megahit.39_1_2	K02314
vamb.megahit.39_1_3	K01338
vamb.megahit.39_1_3	K04076

vamb.megahit.39_1_4	K02939
vamb.megahit.39_1_5	K16785
vamb.megahit.39_1_5	K16786
vamb.megahit.39_1_5	K16787

vamb.megahit.39_1_6	K02963
vamb.megahit.39_1_7	K03111
vamb.megahit.39_1_8	K02990
vamb.megahit.39_2_2	K02528
vamb.megahit.39_2_3	K09776
vamb.megahit.39_2_5	K00919
vamb.megahit.39_2_6	K01286
vamb.megahit.39_2_6	K07258

vamb.megahit.39_2_8	K09685
vamb.megahit.39_2_9	K01754
vamb.megahit.39_2_11	K06412
vamb.megahit.39_2_12	K04042
vamb.megahit.39_2_13	K00948
vamb.megahit.39_2_14	K01056
vamb.megahit.39_2_17	K03723
vamb.megahit.39_2_18	K04769
vamb.megahit.39_2_19	K06409
vamb.megahit.39_2_20	K06409
vamb.megahit.39_2_21	K02428
vamb.megahit.39_2_21	K02499

vamb.megahit.39_2_22	K03530
vamb.megahit.39_2_30	K00370
vamb.megahit.39_2_30	K10700
vamb.megahit.39_2_30	K16964
vamb.megahit.39_2_30	K17050

vamb.megahit.39_2_31	K00371
vamb.megahit.39_2_31	K16965
vamb.megahit.39_2_31	K17048
vamb.megahit.39_2_31	K17051

vamb.megahit.39_2_33	K00373
vamb.megahit.39_2_33	K17052

vamb.megahit.39_2_34	K00373
vamb.megahit.39_2_34	K17052

vamb.megahit.39_2_37	K03406
vamb.megahit.39_2_37	K07673
vamb.megahit.39_2_37	K07675

vamb.megahit.39_3_4	K01953
vamb.megahit.39_3_6	K04940
vamb.megahit.39_5_1	K00627
vamb.megahit.39_5_1	K09699

vamb.megahit.39_5_2	K00382
vamb.megahit.39_5_3	K02483
vamb.megahit.39_5_3	K07669

vamb.megahit.39_5_9	K06423
vamb.megahit.39_5_11	K01611
vamb.megahit.39_5_12	K06402
vamb.megahit.39_5_16	K08301
vamb.megahit.39_5_17	K00111
vamb.megahit.39_5_19	K16922
vamb.megahit.39_5_20	K06871
vamb.megahit.39_5_21	K02888
vamb.megahit.39_5_22	K07584
vamb.megahit.39_5_23	K02899
vamb.megahit.39_5_24	K03979
vamb.megahit.39_5_25	K07574
vamb.megahit.39_5_26	K00969
vamb.megahit.39_5_27	K00969
vamb.megahit.39_5_29	K09710
vamb.megahit.39_5_30	K05366
