vamb.megahit.295_1_2	K06889
vamb.megahit.295_1_4	K15268
vamb.megahit.295_1_5	K03825
vamb.megahit.295_1_10	K07814
vamb.megahit.295_1_12	K01586
vamb.megahit.295_1_13	K02035
vamb.megahit.295_1_13	K15580

vamb.megahit.295_1_14	K02033
vamb.megahit.295_1_14	K15581

vamb.megahit.295_1_15	K02034
vamb.megahit.295_1_15	K15582

vamb.megahit.295_1_16	K15583
vamb.megahit.295_1_17	K10823
vamb.megahit.295_1_18	K18979
vamb.megahit.295_1_19	K07038
vamb.megahit.295_1_20	K03088
vamb.megahit.295_1_22	K03406
vamb.megahit.295_1_23	K03406
vamb.megahit.295_1_24	K02335
vamb.megahit.295_1_25	K00859
vamb.megahit.295_1_26	K08309
vamb.megahit.295_1_27	K00763
vamb.megahit.295_1_28	K02035
vamb.megahit.295_1_34	K07053
vamb.megahit.295_1_35	K00334
vamb.megahit.295_1_37	K17992
vamb.megahit.295_1_38	K00335
vamb.megahit.295_1_38	K18331
vamb.megahit.295_1_38	K22339

vamb.megahit.295_1_39	K03615
vamb.megahit.295_1_40	K03614
vamb.megahit.295_1_41	K03612
vamb.megahit.295_1_42	K03613
vamb.megahit.295_1_43	K03617
vamb.megahit.295_1_44	K03616
vamb.megahit.295_1_46	K06287
vamb.megahit.295_1_47	K03630
vamb.megahit.295_1_48	K03569
vamb.megahit.295_1_49	K03570
vamb.megahit.295_1_50	K03571
vamb.megahit.295_1_51	K05515
vamb.megahit.295_2_1	K00919
vamb.megahit.295_2_4	K06310
vamb.megahit.295_2_5	K06296
vamb.megahit.295_2_5	K06311

vamb.megahit.295_2_6	K06297
vamb.megahit.295_2_7	K06387
vamb.megahit.295_2_8	K01449
vamb.megahit.295_2_9	K06313
vamb.megahit.295_2_10	K06423
vamb.megahit.295_2_13	K01776
vamb.megahit.295_2_14	K06714
vamb.megahit.295_2_15	K18012
vamb.megahit.295_2_16	K01843
vamb.megahit.295_3_1	K02824
vamb.megahit.295_3_3	K03518
vamb.megahit.295_3_4	K03519
vamb.megahit.295_3_5	K00926
vamb.megahit.295_3_6	K00611
vamb.megahit.295_3_7	K01478
vamb.megahit.295_3_8	K02028
vamb.megahit.295_3_8	K10041

vamb.megahit.295_3_9	K02029
vamb.megahit.295_3_10	K02030
vamb.megahit.295_3_12	K01478
vamb.megahit.295_3_13	K06714
vamb.megahit.295_3_15	K03310
vamb.megahit.295_4_2	K04047
vamb.megahit.295_4_3	K00820
vamb.megahit.295_5_2	K01938
vamb.megahit.295_5_3	K03798
vamb.megahit.295_5_4	K00760
vamb.megahit.295_5_5	K04075
vamb.megahit.295_5_6	K08884
vamb.megahit.295_5_7	K07114
vamb.megahit.295_5_8	K06382
vamb.megahit.295_5_11	K01524
vamb.megahit.295_5_12	K07570
vamb.megahit.295_5_12	K07571

vamb.megahit.295_5_17	K03530
vamb.megahit.295_5_18	K02428
vamb.megahit.295_5_18	K02499

vamb.megahit.295_5_19	K06409
vamb.megahit.295_5_20	K04769
vamb.megahit.295_5_21	K03769
vamb.megahit.295_5_21	K07533

vamb.megahit.295_5_22	K03723
vamb.megahit.295_5_23	K01056
vamb.megahit.295_5_24	K00948
vamb.megahit.295_5_25	K04042
vamb.megahit.295_5_27	K06412
vamb.megahit.295_5_28	K09685
vamb.megahit.295_5_29	K01924
vamb.megahit.295_5_30	K00014
vamb.megahit.295_5_31	K07114
vamb.megahit.295_5_34	K03924
vamb.megahit.295_5_37	K01990
vamb.megahit.295_5_40	K01537
vamb.megahit.295_5_43	K07160
vamb.megahit.295_5_45	K06351
vamb.megahit.295_5_47	K21029
vamb.megahit.295_5_48	K02564
vamb.megahit.295_5_51	K01996
vamb.megahit.295_5_52	K01995
vamb.megahit.295_5_53	K01998
vamb.megahit.295_5_54	K01997
vamb.megahit.295_5_55	K01999
vamb.megahit.295_5_58	K00394
vamb.megahit.295_5_60	K02032
