vamb.spades.267_1_4	K18011
vamb.spades.267_2_1	K07001
vamb.spades.267_2_2	K00384
vamb.spades.267_2_3	K01923
vamb.spades.267_2_5	K02051
vamb.spades.267_2_5	K15553

vamb.spades.267_2_6	K02049
vamb.spades.267_2_6	K15555

vamb.spades.267_2_7	K15554
vamb.spades.267_2_9	K01012
vamb.spades.267_2_9	K16180

vamb.spades.267_2_14	K04763
vamb.spades.267_2_17	K01338
vamb.spades.267_3_5	K01496
vamb.spades.267_3_5	K11755

vamb.spades.267_3_6	K02500
vamb.spades.267_3_7	K01814
vamb.spades.267_3_8	K01693
vamb.spades.267_3_9	K00817
vamb.spades.267_3_10	K00765
vamb.spades.267_3_10	K02502

vamb.spades.267_3_11	K02502
vamb.spades.267_3_12	K01840
vamb.spades.267_3_12	K15778

vamb.spades.267_3_16	K01812
vamb.spades.267_3_26	K01599
vamb.spades.267_3_27	K00548
vamb.spades.267_3_29	K01599
vamb.spades.267_3_30	K01880
vamb.spades.267_3_31	K01652
vamb.spades.267_3_32	K00382
vamb.spades.267_3_33	K00627
vamb.spades.267_3_34	K00162
vamb.spades.267_3_34	K11381
vamb.spades.267_3_34	K21417

vamb.spades.267_3_35	K00161
vamb.spades.267_3_35	K21416

vamb.spades.267_3_36	K01426
vamb.spades.267_3_38	K02781
vamb.spades.267_3_39	K02782
vamb.spades.267_3_39	K02783

vamb.spades.267_4_3	K04486
vamb.spades.267_4_4	K03216
vamb.spades.267_4_5	K03406
vamb.spades.267_4_6	K03215
vamb.spades.267_5_2	K05520
vamb.spades.267_6_2	K03741
vamb.spades.267_6_3	K03695
vamb.spades.267_6_3	K03696

vamb.spades.267_6_4	K18231
vamb.spades.267_6_6	K01628
vamb.spades.267_7_2	K19140
vamb.spades.267_7_3	K19139
vamb.spades.267_7_4	K09002
vamb.spades.267_7_5	K19138
vamb.spades.267_7_6	K07016
vamb.spades.267_7_7	K19091
vamb.spades.267_7_8	K02793
vamb.spades.267_7_10	K01788
vamb.spades.267_7_11	K02795
vamb.spades.267_7_11	K02796

vamb.spades.267_7_12	K02795
vamb.spades.267_7_12	K19508

vamb.spades.267_7_13	K02793
vamb.spades.267_7_13	K02794

vamb.spades.267_7_15	K01443
vamb.spades.267_7_16	K19505
vamb.spades.267_8_1	K02443
vamb.spades.267_8_2	K07507
vamb.spades.267_8_5	K02056
vamb.spades.267_8_6	K02057
vamb.spades.267_8_8	K04477
vamb.spades.267_8_10	K04061
