vamb.spades.857_1_1	K01153
vamb.spades.857_1_2	K02002
vamb.spades.857_1_3	K02001
vamb.spades.857_1_4	K02000
vamb.spades.857_1_5	K01012
vamb.spades.857_1_5	K16180

vamb.spades.857_1_7	K15554
vamb.spades.857_1_8	K02049
vamb.spades.857_1_8	K15555

vamb.spades.857_1_9	K02051
vamb.spades.857_1_9	K15553

vamb.spades.857_1_11	K01923
vamb.spades.857_1_12	K00384
vamb.spades.857_2_4	K19302
vamb.spades.857_2_6	K02005
vamb.spades.857_2_6	K13888
vamb.spades.857_2_6	K15727

vamb.spades.857_2_7	K03296
vamb.spades.857_2_12	K03292
vamb.spades.857_3_1	K07240
vamb.spades.857_3_2	K07240
vamb.spades.857_3_3	K01425
vamb.spades.857_3_4	K03310
vamb.spades.857_3_5	K07240
vamb.spades.857_3_6	K07240
vamb.spades.857_3_8	K03406
vamb.spades.857_3_13	K09157
vamb.spades.857_3_14	K00003
vamb.spades.857_3_14	K07166

vamb.spades.857_4_1	K07001
vamb.spades.857_5_1	K03498
vamb.spades.857_5_2	K03499
vamb.spades.857_5_3	K03431
vamb.spades.857_5_5	K18672
vamb.spades.857_5_6	K22278
vamb.spades.857_5_10	K03628
vamb.spades.857_5_11	K07710
vamb.spades.857_5_12	K02490
vamb.spades.857_6_2	K02647
vamb.spades.857_6_3	K05816
vamb.spades.857_6_3	K10112

vamb.spades.857_6_4	K01812
vamb.spades.857_7_3	K00566
vamb.spades.857_7_4	K04488
vamb.spades.857_7_5	K04487
vamb.spades.857_8_1	K06888
vamb.spades.857_8_3	K02626
vamb.spades.857_8_4	K01448
vamb.spades.857_8_6	K01448
vamb.spades.857_8_7	K12573
vamb.spades.857_9_1	K02407
vamb.spades.857_9_2	K06603
vamb.spades.857_9_3	K02406
vamb.spades.857_9_9	K01155
vamb.spades.857_9_10	K06223
vamb.spades.857_9_14	K07076
vamb.spades.857_10_2	K00033
vamb.spades.857_10_4	K01686
vamb.spades.857_10_6	K08322
vamb.spades.857_10_9	K00040
vamb.spades.857_10_14	K02028
vamb.spades.857_10_14	K10041
vamb.spades.857_10_14	K17074
vamb.spades.857_10_14	K17076

vamb.spades.857_10_15	K02029
vamb.spades.857_10_15	K10040
vamb.spades.857_10_15	K17073
vamb.spades.857_10_15	K17074

vamb.spades.857_10_16	K17073
vamb.spades.857_10_17	K15987
vamb.spades.857_10_18	K03075
vamb.spades.857_10_20	K16899
vamb.spades.857_10_21	K01689
vamb.spades.857_10_22	K15633
vamb.spades.857_10_23	K01803
vamb.spades.857_10_24	K00927
vamb.spades.857_10_24	K01803

vamb.spades.857_10_25	K05311
vamb.spades.857_10_26	K00134
vamb.spades.857_10_27	K03092
vamb.spades.857_10_30	K14197
vamb.spades.857_10_31	K00133
vamb.spades.857_10_32	K00928
vamb.spades.857_10_35	K03737
vamb.spades.857_10_38	K03783
vamb.spades.857_10_39	K01839
vamb.spades.857_10_40	K00756
vamb.spades.857_10_40	K00758

vamb.spades.857_10_41	K01489
vamb.spades.857_10_42	K00290
vamb.spades.857_11_1	K03614
