vamb.spades.1_1_1	K06381
vamb.spades.1_1_2	K03530
vamb.spades.1_1_3	K02428
vamb.spades.1_1_3	K02499

vamb.spades.1_1_4	K06409
vamb.spades.1_1_5	K04769
vamb.spades.1_1_6	K03723
vamb.spades.1_1_7	K01056
vamb.spades.1_1_8	K02897
vamb.spades.1_1_9	K00948
vamb.spades.1_1_10	K04042
vamb.spades.1_1_12	K00919
vamb.spades.1_1_13	K09936
vamb.spades.1_1_17	K09776
vamb.spades.1_1_18	K02528
vamb.spades.1_1_20	K02314
vamb.spades.1_1_22	K06158
vamb.spades.1_1_23	K01921
vamb.spades.1_1_24	K09022
vamb.spades.1_1_26	K00965
vamb.spades.1_1_27	K00849
vamb.spades.1_1_28	K06213
vamb.spades.1_1_29	K01338
vamb.spades.1_1_29	K04076

vamb.spades.1_1_30	K02939
vamb.spades.1_1_32	K02963
vamb.spades.1_1_33	K03111
vamb.spades.1_1_34	K02990
vamb.spades.1_1_35	K06942
vamb.spades.1_1_39	K07533
vamb.spades.1_1_41	K00283
vamb.spades.1_1_42	K00282
vamb.spades.1_1_43	K02437
vamb.spades.1_1_44	K00605
vamb.spades.1_1_48	K03497
vamb.spades.1_1_49	K03496
vamb.spades.1_1_50	K03497
vamb.spades.1_1_51	K03501
vamb.spades.1_1_52	K03495
vamb.spades.1_1_53	K03650
vamb.spades.1_1_54	K06346
vamb.spades.1_1_55	K03217
vamb.spades.1_1_56	K03536
vamb.spades.1_2_1	K02469
vamb.spades.1_2_2	K02470
vamb.spades.1_2_4	K03629
vamb.spades.1_2_5	K14761
vamb.spades.1_2_6	K02338
vamb.spades.1_2_7	K02313
vamb.spades.1_3_2	K01119
vamb.spades.1_4_3	K00882
vamb.spades.1_4_3	K00917
vamb.spades.1_4_3	K16370

vamb.spades.1_4_4	K00004
vamb.spades.1_4_4	K00008

vamb.spades.1_4_6	K02026
vamb.spades.1_4_7	K02025
vamb.spades.1_4_8	K02027
vamb.spades.1_4_9	K01624
vamb.spades.1_4_11	K00854
vamb.spades.1_4_12	K03406
vamb.spades.1_4_13	K00854
vamb.spades.1_4_15	K00847
vamb.spades.1_4_16	K02026
vamb.spades.1_4_17	K02025
vamb.spades.1_4_17	K15771

vamb.spades.1_4_19	K02529
vamb.spades.1_4_21	K03406
vamb.spades.1_4_22	K10546
vamb.spades.1_4_23	K10548
vamb.spades.1_4_24	K10547
vamb.spades.1_4_26	K01193
vamb.spades.1_4_27	K10119
vamb.spades.1_4_28	K10118
vamb.spades.1_4_29	K10117
vamb.spades.1_4_30	K00690
vamb.spades.1_4_31	K02529
vamb.spades.1_4_31	K03484

vamb.spades.1_4_33	K05349
vamb.spades.1_4_33	K17641

vamb.spades.1_4_34	K03335
vamb.spades.1_4_36	K00046
vamb.spades.1_4_36	K00065

vamb.spades.1_4_37	K00615
vamb.spades.1_4_38	K00615
vamb.spades.1_4_39	K00042
vamb.spades.1_4_40	K05799
vamb.spades.1_4_42	K02025
vamb.spades.1_4_42	K10118
vamb.spades.1_4_42	K15771
vamb.spades.1_4_42	K17327

vamb.spades.1_4_43	K10117
vamb.spades.1_4_43	K17326

vamb.spades.1_4_46	K03271
vamb.spades.1_4_51	K03651
vamb.spades.1_4_52	K02026
vamb.spades.1_4_53	K02025
vamb.spades.1_4_53	K10118

vamb.spades.1_4_54	K02027
vamb.spades.1_4_55	K16788
vamb.spades.1_4_57	K01624
vamb.spades.1_4_58	K00057
vamb.spades.1_4_59	K02010
vamb.spades.1_4_59	K17240

vamb.spades.1_4_62	K19956
vamb.spades.1_4_63	K02081
vamb.spades.1_4_63	K03436

vamb.spades.1_4_64	K17195
vamb.spades.1_4_66	K02081
vamb.spades.1_4_66	K03436

vamb.spades.1_4_67	K00096
vamb.spades.1_4_68	K02083
vamb.spades.1_4_68	K06016

vamb.spades.1_4_69	K01486
vamb.spades.1_4_71	K02529
vamb.spades.1_4_72	K03784
vamb.spades.1_4_75	K02057
vamb.spades.1_4_76	K02057
vamb.spades.1_4_77	K02056
vamb.spades.1_4_78	K07335
vamb.spades.1_4_79	K01239
vamb.spades.1_4_79	K01250

vamb.spades.1_4_80	K00852
vamb.spades.1_4_81	K01239
vamb.spades.1_4_83	K04069
vamb.spades.1_4_85	K10914
vamb.spades.1_5_1	K01449
vamb.spades.1_5_4	K06385
vamb.spades.1_6_2	K02033
vamb.spades.1_6_3	K02034
vamb.spades.1_6_5	K10823
vamb.spades.1_6_7	K02666
vamb.spades.1_6_10	K12132
vamb.spades.1_6_15	K10439
vamb.spades.1_7_3	K03324
vamb.spades.1_7_5	K00790
vamb.spades.1_7_6	K02337
vamb.spades.1_7_7	K06285
vamb.spades.1_7_9	K01962
vamb.spades.1_7_9	K01963

vamb.spades.1_7_10	K01962
vamb.spades.1_7_11	K00850
vamb.spades.1_7_12	K00873
vamb.spades.1_7_13	K04655
vamb.spades.1_7_15	K03406
vamb.spades.1_7_16	K09825
vamb.spades.1_7_17	K00525
vamb.spades.1_7_19	K02335
vamb.spades.1_7_20	K10563
vamb.spades.1_7_21	K00859
vamb.spades.1_7_22	K01734
vamb.spades.1_7_23	K08309
vamb.spades.1_7_24	K00763
vamb.spades.1_7_25	K02031
vamb.spades.1_7_25	K02032
vamb.spades.1_7_25	K15583

vamb.spades.1_7_26	K02032
vamb.spades.1_7_26	K10823

vamb.spades.1_7_27	K03406
vamb.spades.1_7_29	K06871
vamb.spades.1_7_30	K02652
vamb.spades.1_7_31	K02669
vamb.spades.1_7_32	K02653
vamb.spades.1_7_33	K02662
vamb.spades.1_7_36	K02507
vamb.spades.1_7_36	K02666

vamb.spades.1_7_37	K02453
vamb.spades.1_7_37	K02666

vamb.spades.1_7_39	K02650
vamb.spades.1_7_43	K02654
vamb.spades.1_7_44	K02051
vamb.spades.1_7_45	K02049
vamb.spades.1_7_46	K02050
vamb.spades.1_7_47	K18889
vamb.spades.1_7_48	K18890
vamb.spades.1_7_49	K06180
vamb.spades.1_7_53	K01537
vamb.spades.1_7_55	K00942
vamb.spades.1_7_56	K09777
vamb.spades.1_7_57	K00942
vamb.spades.1_7_59	K04066
vamb.spades.1_7_60	K01462
vamb.spades.1_7_61	K00604
vamb.spades.1_7_62	K06973
vamb.spades.1_7_63	K03500
vamb.spades.1_7_64	K07699
vamb.spades.1_7_66	K06941
vamb.spades.1_7_69	K20074
vamb.spades.1_7_70	K03588
vamb.spades.1_7_71	K05364
vamb.spades.1_7_72	K12132
vamb.spades.1_7_73	K06949
vamb.spades.1_7_74	K01783
vamb.spades.1_7_75	K16789
vamb.spades.1_7_76	K00949
vamb.spades.1_7_77	K02902
vamb.spades.1_7_79	K07030
vamb.spades.1_7_81	K03655
vamb.spades.1_7_82	K08316
vamb.spades.1_7_83	K00954
vamb.spades.1_7_86	K07001
vamb.spades.1_7_87	K07040
vamb.spades.1_7_88	K02911
vamb.spades.1_7_90	K03621
vamb.spades.1_7_91	K00645
vamb.spades.1_7_92	K02078
vamb.spades.1_7_93	K03685
vamb.spades.1_7_95	K03088
vamb.spades.1_7_95	K03091
vamb.spades.1_7_95	K12296

vamb.spades.1_7_96	K03529
vamb.spades.1_7_97	K03110
vamb.spades.1_7_98	K09787
vamb.spades.1_7_99	K03106
vamb.spades.1_7_100	K02959
vamb.spades.1_7_101	K06960
vamb.spades.1_7_102	K02860
vamb.spades.1_7_103	K00554
vamb.spades.1_7_104	K02884
vamb.spades.1_7_105	K03100
vamb.spades.1_7_106	K14540
vamb.spades.1_7_107	K03470
vamb.spades.1_7_108	K07460
vamb.spades.1_7_109	K07258
vamb.spades.1_7_110	K03718
vamb.spades.1_7_111	K03718
vamb.spades.1_7_112	K07391
vamb.spades.1_7_114	K04096
vamb.spades.1_7_116	K03168
vamb.spades.1_7_117	K04094
vamb.spades.1_7_118	K04763
vamb.spades.1_7_119	K01419
vamb.spades.1_7_120	K03667
vamb.spades.1_7_121	K02387
vamb.spades.1_7_122	K02388
vamb.spades.1_7_123	K02408
vamb.spades.1_7_124	K02409
vamb.spades.1_7_125	K02410
vamb.spades.1_7_126	K02411
vamb.spades.1_7_126	K03223

vamb.spades.1_7_127	K02412
vamb.spades.1_7_128	K02413
vamb.spades.1_7_130	K02414
vamb.spades.1_7_131	K02389
vamb.spades.1_7_133	K02390
vamb.spades.1_7_134	K02556
vamb.spades.1_7_135	K02557
vamb.spades.1_7_136	K02415
vamb.spades.1_7_137	K02417
vamb.spades.1_7_138	K02418
vamb.spades.1_7_139	K02419
vamb.spades.1_7_140	K02420
vamb.spades.1_7_141	K02421
vamb.spades.1_7_142	K02401
vamb.spades.1_7_143	K02400
vamb.spades.1_7_144	K02404
vamb.spades.1_7_145	K04562
vamb.spades.1_7_147	K02405
vamb.spades.1_7_150	K02967
vamb.spades.1_7_151	K02357
vamb.spades.1_7_152	K09903
vamb.spades.1_7_153	K02838
vamb.spades.1_7_155	K00806
vamb.spades.1_7_156	K00981
vamb.spades.1_7_158	K00099
vamb.spades.1_7_159	K11749
vamb.spades.1_7_160	K03526
vamb.spades.1_7_161	K01881
vamb.spades.1_7_163	K03763
vamb.spades.1_7_164	K09748
vamb.spades.1_7_165	K02600
vamb.spades.1_7_166	K07742
vamb.spades.1_7_168	K02519
vamb.spades.1_7_169	K02834
vamb.spades.1_7_170	K06881
vamb.spades.1_7_171	K03177
vamb.spades.1_7_172	K11753
vamb.spades.1_7_173	K02956
vamb.spades.1_7_174	K00962
vamb.spades.1_7_175	K00929
vamb.spades.1_7_176	K00634
vamb.spades.1_7_177	K00929
vamb.spades.1_7_178	K00176
vamb.spades.1_7_179	K00174
vamb.spades.1_7_180	K00175
vamb.spades.1_7_188	K16928
vamb.spades.1_7_189	K22305
vamb.spades.1_7_190	K06384
vamb.spades.1_7_191	K04763
vamb.spades.1_7_192	K01839
vamb.spades.1_7_193	K00756
vamb.spades.1_7_193	K00758

vamb.spades.1_7_194	K07258
vamb.spades.1_7_195	K06378
vamb.spades.1_7_196	K06379
vamb.spades.1_7_197	K03090
vamb.spades.1_7_197	K03091

vamb.spades.1_7_198	K07053
