metabat2.spades.25_1_1	K00973
metabat2.spades.25_1_2	K06331
metabat2.spades.25_1_3	K06338
metabat2.spades.25_1_4	K06338
metabat2.spades.25_1_5	K01784
metabat2.spades.25_1_6	K06330
metabat2.spades.25_1_7	K00012
metabat2.spades.25_1_8	K01101
metabat2.spades.25_1_8	K02566

metabat2.spades.25_1_10	K07180
metabat2.spades.25_1_11	K01266
metabat2.spades.25_1_11	K07052

metabat2.spades.25_1_13	K03436
metabat2.spades.25_1_14	K00882
metabat2.spades.25_1_15	K02806
metabat2.spades.25_1_16	K02769
metabat2.spades.25_1_16	K02770

metabat2.spades.25_1_17	K00772
metabat2.spades.25_1_18	K00772
metabat2.spades.25_1_19	K08963
metabat2.spades.25_1_20	K18285
metabat2.spades.25_1_21	K11779
metabat2.spades.25_1_21	K11784

metabat2.spades.25_1_22	K11782
metabat2.spades.25_1_23	K01999
metabat2.spades.25_1_24	K01997
metabat2.spades.25_1_25	K01998
metabat2.spades.25_1_26	K01995
metabat2.spades.25_1_27	K01996
metabat2.spades.25_1_28	K03406
metabat2.spades.25_1_30	K01262
metabat2.spades.25_1_30	K01271

metabat2.spades.25_1_31	K07213
metabat2.spades.25_1_32	K07038
metabat2.spades.25_1_35	K01739
metabat2.spades.25_1_35	K01761

metabat2.spades.25_1_36	K01744
metabat2.spades.25_1_39	K03783
metabat2.spades.25_1_40	K00850
metabat2.spades.25_1_41	K00873
metabat2.spades.25_1_42	K07107
metabat2.spades.25_1_43	K03593
metabat2.spades.25_1_48	K03088
metabat2.spades.25_1_50	K02335
metabat2.spades.25_1_51	K10563
metabat2.spades.25_1_53	K00859
metabat2.spades.25_1_54	K08309
metabat2.spades.25_1_57	K02004
metabat2.spades.25_1_58	K02003
metabat2.spades.25_1_59	K02004
metabat2.spades.25_1_59	K05685

metabat2.spades.25_1_60	K03833
metabat2.spades.25_1_60	K12573
metabat2.spades.25_1_60	K21786

metabat2.spades.25_1_63	K06888
metabat2.spades.25_1_64	K01449
metabat2.spades.25_1_65	K06305
metabat2.spades.25_1_67	K04047
metabat2.spades.25_1_69	K08217
metabat2.spades.25_1_71	K09798
metabat2.spades.25_1_74	K02051
metabat2.spades.25_1_75	K02049
metabat2.spades.25_1_76	K02050
metabat2.spades.25_1_76	K15552

metabat2.spades.25_1_77	K07341
metabat2.spades.25_1_80	K07107
metabat2.spades.25_1_81	K07082
metabat2.spades.25_1_82	K01895
metabat2.spades.25_1_84	K07282
metabat2.spades.25_1_87	K03724
metabat2.spades.25_1_88	K03724
metabat2.spades.25_1_91	K01990
metabat2.spades.25_1_95	K01515
metabat2.spades.25_1_95	K03574
metabat2.spades.25_1_95	K08310
metabat2.spades.25_1_95	K19965

metabat2.spades.25_1_96	K03803
metabat2.spades.25_1_97	K03615
metabat2.spades.25_1_98	K03614
metabat2.spades.25_1_99	K03612
metabat2.spades.25_1_100	K03613
metabat2.spades.25_1_101	K03617
metabat2.spades.25_1_102	K03616
metabat2.spades.25_1_103	K03734
metabat2.spades.25_1_104	K00805
metabat2.spades.25_1_105	K02614
metabat2.spades.25_1_106	K18996
metabat2.spades.25_1_106	K21258

metabat2.spades.25_1_108	K03088
metabat2.spades.25_1_111	K02945
metabat2.spades.25_1_111	K03527

metabat2.spades.25_1_114	K07263
metabat2.spades.25_1_115	K01358
metabat2.spades.25_1_116	K17836
metabat2.spades.25_1_117	K02574
metabat2.spades.25_1_118	K00372
metabat2.spades.25_1_118	K02567

metabat2.spades.25_1_119	K02570
metabat2.spades.25_1_120	K02569
metabat2.spades.25_1_120	K15876

metabat2.spades.25_1_121	K07675
metabat2.spades.25_1_124	K02479
metabat2.spades.25_1_124	K07684

metabat2.spades.25_1_126	K07001
metabat2.spades.25_1_127	K03386
metabat2.spades.25_1_132	K00104
metabat2.spades.25_1_134	K00176
metabat2.spades.25_1_135	K00174
metabat2.spades.25_1_136	K00175
metabat2.spades.25_1_137	K00177
metabat2.spades.25_1_138	K03738
metabat2.spades.25_1_140	K03522
metabat2.spades.25_1_140	K05337

metabat2.spades.25_1_141	K17836
metabat2.spades.25_1_142	K01996
metabat2.spades.25_1_145	K01733
metabat2.spades.25_1_146	K00020
metabat2.spades.25_1_146	K19647

metabat2.spades.25_1_148	K03649
metabat2.spades.25_1_151	K00833
metabat2.spades.25_1_151	K03851
metabat2.spades.25_1_151	K12256
metabat2.spades.25_1_151	K15372

metabat2.spades.25_1_153	K12132
metabat2.spades.25_1_153	K20276

metabat2.spades.25_1_154	K13993
metabat2.spades.25_1_155	K03406
metabat2.spades.25_1_156	K06206
metabat2.spades.25_1_159	K03699
metabat2.spades.25_1_160	K06013
metabat2.spades.25_1_161	K09458
metabat2.spades.25_1_164	K03885
metabat2.spades.25_1_165	K06176
metabat2.spades.25_1_166	K21567
metabat2.spades.25_1_168	K07025
metabat2.spades.25_1_168	K08723
metabat2.spades.25_1_168	K20862

metabat2.spades.25_1_169	K00059
metabat2.spades.25_1_176	K02005
metabat2.spades.25_1_176	K13408

metabat2.spades.25_1_177	K02003
metabat2.spades.25_1_178	K02004
metabat2.spades.25_1_181	K17836
metabat2.spades.25_1_182	K03281
metabat2.spades.25_1_184	K07090
metabat2.spades.25_1_185	K13628
metabat2.spades.25_1_187	K02478
metabat2.spades.25_1_187	K07704

metabat2.spades.25_1_188	K02477
metabat2.spades.25_1_190	K01286
metabat2.spades.25_1_190	K07258

metabat2.spades.25_1_191	K01495
metabat2.spades.25_1_193	K11473
metabat2.spades.25_1_194	K00104
metabat2.spades.25_1_197	K02020
metabat2.spades.25_1_198	K02018
metabat2.spades.25_1_199	K02017
metabat2.spades.25_1_201	K01761
metabat2.spades.25_1_203	K09767
metabat2.spades.25_1_204	K01081
metabat2.spades.25_1_204	K01119

