vamb.megahit.77_1_1	K06385
vamb.megahit.77_1_2	K07045
vamb.megahit.77_2_9	K03091
vamb.megahit.77_2_11	K03218
vamb.megahit.77_2_12	K11145
vamb.megahit.77_2_13	K06436
vamb.megahit.77_2_14	K00854
vamb.megahit.77_2_18	K07318
vamb.megahit.77_2_20	K05919
vamb.megahit.77_2_23	K00175
vamb.megahit.77_2_24	K00174
vamb.megahit.77_2_26	K02217
vamb.megahit.77_2_28	K03406
vamb.megahit.77_2_41	K06306
vamb.megahit.77_2_43	K01897
vamb.megahit.77_2_44	K03386
vamb.megahit.77_2_45	K00384
vamb.megahit.77_2_47	K02006
vamb.megahit.77_2_48	K02008
vamb.megahit.77_2_49	K02007
vamb.megahit.77_2_51	K06183
vamb.megahit.77_2_54	K01599
vamb.megahit.77_2_55	K01657
vamb.megahit.77_2_56	K01658
vamb.megahit.77_2_57	K00766
vamb.megahit.77_2_57	K13497

vamb.megahit.77_2_58	K01609
vamb.megahit.77_2_59	K01817
vamb.megahit.77_2_60	K01696
vamb.megahit.77_2_61	K01695
vamb.megahit.77_2_63	K01681
vamb.megahit.77_2_65	K03406
vamb.megahit.77_2_70	K01744
vamb.megahit.77_2_71	K02226
vamb.megahit.77_2_72	K02233
vamb.megahit.77_2_73	K02231
vamb.megahit.77_2_74	K04720
vamb.megahit.77_2_75	K02227
vamb.megahit.77_2_76	K02232
vamb.megahit.77_2_77	K02224
vamb.megahit.77_2_78	K03794
vamb.megahit.77_2_78	K03795

vamb.megahit.77_2_79	K01845
vamb.megahit.77_2_80	K01698
vamb.megahit.77_2_81	K02302
vamb.megahit.77_2_81	K02303
vamb.megahit.77_2_81	K13542

vamb.megahit.77_2_82	K01749
vamb.megahit.77_2_83	K02304
vamb.megahit.77_2_84	K05895
vamb.megahit.77_2_85	K05934
vamb.megahit.77_2_85	K21479

vamb.megahit.77_2_86	K02492
vamb.megahit.77_2_87	K02189
vamb.megahit.77_2_88	K05936
vamb.megahit.77_2_89	K03394
vamb.megahit.77_2_90	K00595
vamb.megahit.77_2_90	K02191

vamb.megahit.77_2_91	K02188
vamb.megahit.77_2_92	K06042
vamb.megahit.77_2_93	K09815
vamb.megahit.77_2_93	K09818

vamb.megahit.77_2_94	K09817
vamb.megahit.77_2_96	K00008
vamb.megahit.77_2_97	K17213
vamb.megahit.77_2_98	K02057
vamb.megahit.77_2_98	K17214

vamb.megahit.77_2_99	K17215
vamb.megahit.77_2_102	K19221
vamb.megahit.77_2_103	K07706
vamb.megahit.77_2_106	K01689
vamb.megahit.77_2_107	K15633
vamb.megahit.77_2_108	K00927
vamb.megahit.77_2_108	K01803

vamb.megahit.77_2_109	K00134
vamb.megahit.77_2_110	K01163
vamb.megahit.77_2_111	K21071
