vamb.spades.21_1_1	K10112
vamb.spades.21_1_3	K01187
vamb.spades.21_1_4	K01624
vamb.spades.21_1_9	K18983
vamb.spades.21_1_10	K02027
vamb.spades.21_1_10	K10117
vamb.spades.21_1_10	K15770

vamb.spades.21_1_11	K02025
vamb.spades.21_1_12	K02026
vamb.spades.21_2_1	K00639
vamb.spades.21_2_1	K00652

vamb.spades.21_2_3	K02445
vamb.spades.21_2_4	K04486
vamb.spades.21_2_5	K02032
vamb.spades.21_2_6	K02031
vamb.spades.21_2_7	K02034
vamb.spades.21_2_8	K02033
vamb.spades.21_2_9	K02035
vamb.spades.21_2_10	K07507
vamb.spades.21_2_16	K00789
vamb.spades.21_2_17	K01598
vamb.spades.21_2_17	K13038

vamb.spades.21_2_18	K03060
vamb.spades.21_2_19	K00942
vamb.spades.21_2_20	K09777
vamb.spades.21_2_22	K10206
vamb.spades.21_2_23	K01778
vamb.spades.21_2_24	K01537
vamb.spades.21_2_26	K00762
vamb.spades.21_2_27	K01591
vamb.spades.21_2_28	K17828
vamb.spades.21_2_29	K02823
vamb.spades.21_2_30	K01465
vamb.spades.21_2_31	K00609
vamb.spades.21_2_32	K02825
vamb.spades.21_2_34	K04562
vamb.spades.21_2_35	K04083
vamb.spades.21_2_38	K06180
vamb.spades.21_2_39	K03101
vamb.spades.21_2_43	K15024
vamb.spades.21_2_44	K01870
vamb.spades.21_2_45	K04074
vamb.spades.21_2_47	K02221
vamb.spades.21_2_48	K09772
vamb.spades.21_2_49	K06997
vamb.spades.21_2_51	K05810
vamb.spades.21_2_52	K04068
vamb.spades.21_2_53	K21636
vamb.spades.21_2_54	K07738
vamb.spades.21_2_56	K06387
vamb.spades.21_2_57	K03091
vamb.spades.21_2_58	K03091
vamb.spades.21_2_59	K06383
vamb.spades.21_2_60	K03531
vamb.spades.21_2_61	K03590
vamb.spades.21_2_63	K03589
vamb.spades.21_2_64	K00790
vamb.spades.21_2_65	K00075
vamb.spades.21_2_66	K01924
vamb.spades.21_2_67	K02563
vamb.spades.21_2_68	K03588
vamb.spades.21_2_69	K01925
