vamb.spades.286_1_7	K06405
vamb.spades.286_1_8	K06406
vamb.spades.286_1_9	K06407
vamb.spades.286_1_11	K01190
vamb.spades.286_1_16	K17318
vamb.spades.286_1_17	K17320
vamb.spades.286_1_18	K17319
vamb.spades.286_1_19	K07718
vamb.spades.286_1_20	K07720
vamb.spades.286_1_23	K01785
vamb.spades.286_1_25	K07407
vamb.spades.286_1_30	K17318
vamb.spades.286_1_31	K17320
vamb.spades.286_1_33	K07718
vamb.spades.286_2_1	K16213
vamb.spades.286_2_2	K16213
vamb.spades.286_2_3	K16212
vamb.spades.286_2_4	K03406
vamb.spades.286_2_6	K02954
vamb.spades.286_3_2	K00060
vamb.spades.286_3_3	K00639
vamb.spades.286_3_3	K00652

vamb.spades.286_3_7	K00675
vamb.spades.286_3_9	K03588
vamb.spades.286_3_10	K05364
vamb.spades.286_3_12	K03091
vamb.spades.286_3_14	K18889
vamb.spades.286_3_15	K18890
vamb.spades.286_3_16	K01914
vamb.spades.286_3_17	K01893
vamb.spades.286_3_18	K03406
vamb.spades.286_3_19	K01126
vamb.spades.286_3_22	K03308
vamb.spades.286_4_6	K02406
vamb.spades.286_4_7	K03563
vamb.spades.286_4_8	K13626
vamb.spades.286_4_9	K02397
vamb.spades.286_4_10	K02396
vamb.spades.286_4_11	K02396
vamb.spades.286_4_13	K02398
vamb.spades.286_4_15	K02242
vamb.spades.286_4_16	K03581
vamb.spades.286_4_18	K00789
vamb.spades.286_4_19	K03798
vamb.spades.286_4_20	K04075
vamb.spades.286_4_21	K02314
vamb.spades.286_4_22	K02939
vamb.spades.286_4_25	K04518
vamb.spades.286_4_25	K14170

vamb.spades.286_4_26	K02963
vamb.spades.286_4_27	K03111
vamb.spades.286_4_28	K02990
vamb.spades.286_4_29	K01809
vamb.spades.286_4_32	K01443
vamb.spades.286_4_33	K02435
vamb.spades.286_4_34	K02433
vamb.spades.286_4_35	K02434
vamb.spades.286_4_36	K01876
vamb.spades.286_4_36	K09759

vamb.spades.286_4_37	K01915
vamb.spades.286_4_43	K03077
vamb.spades.286_4_48	K01448
vamb.spades.286_4_67	K07570
vamb.spades.286_4_67	K07571

