vamb.spades.222_1_3	K07777
vamb.spades.222_1_4	K03408
vamb.spades.222_1_5	K01468
vamb.spades.222_1_6	K00603
vamb.spades.222_1_7	K01712
vamb.spades.222_1_8	K01745
vamb.spades.222_1_9	K01975
vamb.spades.222_1_11	K02529
vamb.spades.222_1_14	K07029
vamb.spades.222_1_18	K04486
vamb.spades.222_1_20	K03798
vamb.spades.222_1_23	K06177
vamb.spades.222_1_23	K06180

vamb.spades.222_1_24	K00858
vamb.spades.222_1_25	K08602
vamb.spades.222_1_26	K05364
vamb.spades.222_1_27	K03588
vamb.spades.222_1_29	K03973
vamb.spades.222_1_30	K01752
vamb.spades.222_1_31	K01752
vamb.spades.222_1_36	K00123
vamb.spades.222_1_36	K00266

vamb.spades.222_1_37	K00528
vamb.spades.222_1_37	K16951

vamb.spades.222_1_39	K07322
vamb.spades.222_1_41	K00966
vamb.spades.222_1_41	K16881

vamb.spades.222_1_42	K01835
vamb.spades.222_1_42	K01840

vamb.spades.222_1_44	K16850
vamb.spades.222_1_45	K16849
vamb.spades.222_1_46	K01687
vamb.spades.222_1_47	K07793
vamb.spades.222_2_1	K07079
vamb.spades.222_2_4	K01273
vamb.spades.222_2_5	K06385
vamb.spades.222_2_8	K09811
vamb.spades.222_2_9	K03406
vamb.spades.222_2_13	K01438
vamb.spades.222_2_15	K01119
vamb.spades.222_2_16	K11751
vamb.spades.222_2_18	K10793
vamb.spades.222_2_19	K21579
vamb.spades.222_2_22	K04940
vamb.spades.222_2_23	K00259
vamb.spades.222_2_25	K07335
vamb.spades.222_2_26	K02056
vamb.spades.222_2_27	K02057
vamb.spades.222_2_28	K02057
vamb.spades.222_2_29	K00382
vamb.spades.222_2_30	K00757
vamb.spades.222_2_32	K01999
vamb.spades.222_2_33	K01997
vamb.spades.222_2_34	K01995
vamb.spades.222_2_35	K01996
vamb.spades.222_2_37	K03980
vamb.spades.222_2_42	K00179
vamb.spades.222_2_43	K00179
vamb.spades.222_2_44	K00180
vamb.spades.222_2_45	K03738
vamb.spades.222_2_46	K03308
vamb.spades.222_2_48	K01779
vamb.spades.222_2_50	K03310
vamb.spades.222_2_51	K06895
vamb.spades.222_2_53	K06901
vamb.spades.222_2_54	K00600
vamb.spades.222_2_58	K01304
vamb.spades.222_2_60	K02033
vamb.spades.222_2_60	K15581

vamb.spades.222_2_61	K02034
vamb.spades.222_2_62	K02031
vamb.spades.222_2_62	K02032

vamb.spades.222_2_63	K02032
vamb.spades.222_2_64	K02035
vamb.spades.222_2_68	K08963
vamb.spades.222_2_69	K01628
vamb.spades.222_2_70	K01273
vamb.spades.222_2_71	K06934
vamb.spades.222_2_72	K01266
vamb.spades.222_2_76	K01104
vamb.spades.222_2_78	K05988
vamb.spades.222_2_80	K01937
vamb.spades.222_2_83	K06147
vamb.spades.222_2_84	K06147
vamb.spades.222_2_85	K02004
vamb.spades.222_2_87	K02003
vamb.spades.222_2_88	K14155
vamb.spades.222_2_89	K18014
vamb.spades.222_2_90	K18013
vamb.spades.222_2_92	K01624
vamb.spades.222_2_93	K00616
vamb.spades.222_2_94	K02446
vamb.spades.222_2_95	K02446
vamb.spades.222_2_96	K03628
vamb.spades.222_2_97	K02909
vamb.spades.222_2_99	K02493
vamb.spades.222_2_100	K07240
vamb.spades.222_2_101	K07240
vamb.spades.222_2_102	K02835
vamb.spades.222_2_104	K14534
vamb.spades.222_2_106	K18122
vamb.spades.222_2_113	K07238
vamb.spades.222_2_114	K07566
vamb.spades.222_2_115	K01104
vamb.spades.222_2_115	K20201

vamb.spades.222_2_116	K01808
vamb.spades.222_2_117	K00761
vamb.spades.222_2_118	K01779
vamb.spades.222_2_123	K01439
vamb.spades.222_2_124	K18118
vamb.spades.222_2_125	K21898
vamb.spades.222_2_126	K06015
vamb.spades.222_2_127	K02851
vamb.spades.222_2_128	K01791
vamb.spades.222_2_130	K02106
vamb.spades.222_2_131	K00626
vamb.spades.222_2_132	K01034
vamb.spades.222_2_133	K01035
vamb.spades.222_2_136	K02108
vamb.spades.222_2_137	K02110
vamb.spades.222_2_138	K02109
vamb.spades.222_2_139	K02113
vamb.spades.222_2_140	K02111
vamb.spades.222_2_141	K02115
vamb.spades.222_2_142	K02112
vamb.spades.222_2_143	K02114
vamb.spades.222_2_145	K00790
vamb.spades.222_2_146	K06381
vamb.spades.222_2_148	K06283
vamb.spades.222_2_149	K03569
vamb.spades.222_2_150	K02392
vamb.spades.222_2_151	K02390
vamb.spades.222_2_151	K02392

vamb.spades.222_2_152	K02395
vamb.spades.222_2_154	K00789
vamb.spades.222_2_155	K06015
vamb.spades.222_2_156	K17836
vamb.spades.222_2_157	K03310
vamb.spades.222_2_158	K03088
vamb.spades.222_2_158	K03091

vamb.spades.222_2_163	K03581
vamb.spades.222_2_164	K03581
vamb.spades.222_2_165	K02242
vamb.spades.222_2_167	K02398
vamb.spades.222_2_169	K02396
vamb.spades.222_2_170	K02396
vamb.spades.222_2_171	K02397
vamb.spades.222_2_172	K13626
vamb.spades.222_2_173	K03563
vamb.spades.222_2_175	K02406
vamb.spades.222_3_1	K06153
vamb.spades.222_3_4	K01996
vamb.spades.222_3_5	K01995
vamb.spades.222_3_6	K01998
vamb.spades.222_3_7	K01997
vamb.spades.222_3_8	K01999
vamb.spades.222_3_12	K01667
vamb.spades.222_3_13	K00566
vamb.spades.222_4_10	K07474
vamb.spades.222_4_12	K02597
vamb.spades.222_4_12	K03770
vamb.spades.222_4_12	K03771

vamb.spades.222_4_17	K07576
vamb.spades.222_4_20	K00362
vamb.spades.222_4_20	K22405

vamb.spades.222_5_2	K01356
vamb.spades.222_5_4	K03666
vamb.spades.222_5_5	K00791
vamb.spades.222_5_6	K03572
vamb.spades.222_5_7	K03555
vamb.spades.222_5_8	K06168
vamb.spades.222_5_10	K01179
vamb.spades.222_5_11	K01179
vamb.spades.222_5_13	K00575
vamb.spades.222_5_14	K02945
vamb.spades.222_5_14	K03527

vamb.spades.222_5_15	K00655
vamb.spades.222_5_16	K00945
vamb.spades.222_5_17	K06208
vamb.spades.222_5_19	K07007
vamb.spades.222_5_20	K02226
vamb.spades.222_5_20	K22305

vamb.spades.222_5_22	K00177
vamb.spades.222_5_23	K00175
vamb.spades.222_5_24	K00174
vamb.spades.222_5_25	K00176
vamb.spades.222_5_26	K01571
vamb.spades.222_5_28	K06178
vamb.spades.222_5_28	K06183

vamb.spades.222_5_29	K07258
vamb.spades.222_5_32	K06024
vamb.spades.222_5_33	K05896
vamb.spades.222_5_35	K01480
vamb.spades.222_5_36	K00797
vamb.spades.222_5_37	K01585
vamb.spades.222_5_38	K01611
vamb.spades.222_5_39	K07258
vamb.spades.222_5_40	K00756
vamb.spades.222_5_40	K00758

vamb.spades.222_5_41	K04763
vamb.spades.222_5_42	K06384
vamb.spades.222_5_43	K01515
vamb.spades.222_5_49	K07699
vamb.spades.222_5_50	K06399
vamb.spades.222_5_51	K03631
vamb.spades.222_5_52	K03402
vamb.spades.222_5_53	K06442
vamb.spades.222_5_55	K13789
vamb.spades.222_5_56	K03602
vamb.spades.222_5_57	K03601
vamb.spades.222_5_58	K01409
vamb.spades.222_5_59	K03625
vamb.spades.222_5_63	K06397
vamb.spades.222_5_64	K06396
vamb.spades.222_5_65	K06395
vamb.spades.222_5_66	K06394
vamb.spades.222_5_67	K06393
vamb.spades.222_5_68	K06392
vamb.spades.222_5_69	K06391
vamb.spades.222_5_70	K06390
vamb.spades.222_5_72	K02356
vamb.spades.222_5_73	K00891
vamb.spades.222_5_79	K02664
vamb.spades.222_5_80	K02662
vamb.spades.222_5_80	K02663
vamb.spades.222_5_80	K12289

vamb.spades.222_5_81	K02662
vamb.spades.222_5_82	K02654
vamb.spades.222_5_83	K02650
vamb.spades.222_5_85	K02653
vamb.spades.222_5_86	K02669
vamb.spades.222_5_87	K02652
vamb.spades.222_5_89	K03091
vamb.spades.222_5_90	K05515
vamb.spades.222_5_91	K00876
vamb.spades.222_5_92	K08303
vamb.spades.222_5_94	K07082
vamb.spades.222_5_99	K12574
vamb.spades.222_5_100	K03711
vamb.spades.222_5_102	K07447
vamb.spades.222_5_106	K01872
vamb.spades.222_5_110	K04488
vamb.spades.222_5_111	K04487
vamb.spades.222_5_116	K00973
vamb.spades.222_5_119	K00973
vamb.spades.222_5_122	K01869
vamb.spades.222_5_123	K01893
vamb.spades.222_5_124	K07478
vamb.spades.222_5_125	K21898
vamb.spades.222_5_127	K17898
vamb.spades.222_5_128	K17899
vamb.spades.222_5_129	K21400
vamb.spades.222_5_130	K21399
vamb.spades.222_5_131	K21672
vamb.spades.222_5_132	K06714
vamb.spades.222_5_133	K05810
vamb.spades.222_5_134	K07738
vamb.spades.222_5_136	K03091
vamb.spades.222_5_137	K03091
vamb.spades.222_5_138	K06383
vamb.spades.222_5_139	K03531
vamb.spades.222_5_143	K03589
vamb.spades.222_6_7	K17734
vamb.spades.222_6_8	K01537
vamb.spades.222_6_9	K07658
vamb.spades.222_6_9	K07668

vamb.spades.222_6_10	K07652
vamb.spades.222_6_15	K01681
vamb.spades.222_6_16	K00030
vamb.spades.222_6_17	K01958
vamb.spades.222_6_19	K04771
vamb.spades.222_6_21	K03787
vamb.spades.222_6_22	K00783
vamb.spades.222_6_25	K03790
vamb.spades.222_6_38	K07137
vamb.spades.222_6_40	K03924
vamb.spades.222_6_47	K11623
vamb.spades.222_7_10	K01114
vamb.spades.222_7_11	K02395
vamb.spades.222_7_12	K00759
vamb.spades.222_7_13	K06917
vamb.spades.222_7_18	K00852
vamb.spades.222_7_18	K16328

