maxbin2.spades.006_1_1	K06405
maxbin2.spades.006_1_2	K06406
maxbin2.spades.006_1_3	K06407
maxbin2.spades.006_1_4	K06407
maxbin2.spades.006_1_8	K01586
maxbin2.spades.006_1_9	K00970
maxbin2.spades.006_1_9	K00974

maxbin2.spades.006_1_11	K01867
maxbin2.spades.006_1_12	K05896
maxbin2.spades.006_1_13	K06024
maxbin2.spades.006_1_16	K06373
maxbin2.spades.006_1_17	K06374
maxbin2.spades.006_1_18	K06178
maxbin2.spades.006_1_18	K06183

maxbin2.spades.006_1_20	K00053
maxbin2.spades.006_1_21	K07007
maxbin2.spades.006_1_23	K06208
maxbin2.spades.006_1_24	K03856
maxbin2.spades.006_1_25	K04518
maxbin2.spades.006_1_26	K00800
maxbin2.spades.006_1_27	K00945
maxbin2.spades.006_1_28	K00655
maxbin2.spades.006_1_29	K02945
maxbin2.spades.006_1_29	K03527

maxbin2.spades.006_1_30	K01823
maxbin2.spades.006_1_32	K06385
maxbin2.spades.006_1_36	K03977
maxbin2.spades.006_1_37	K08591
maxbin2.spades.006_1_38	K00057
maxbin2.spades.006_1_39	K06398
maxbin2.spades.006_1_40	K01740
maxbin2.spades.006_1_41	K00641
maxbin2.spades.006_1_42	K06209
maxbin2.spades.006_1_43	K00003
maxbin2.spades.006_1_44	K00872
maxbin2.spades.006_1_45	K00928
maxbin2.spades.006_1_48	K01611
maxbin2.spades.006_1_50	K03183
maxbin2.spades.006_1_51	K00963
maxbin2.spades.006_1_52	K03574
maxbin2.spades.006_1_54	K00241
maxbin2.spades.006_1_55	K00239
maxbin2.spades.006_1_56	K00240
maxbin2.spades.006_1_57	K00805
maxbin2.spades.006_1_58	K01698
maxbin2.spades.006_1_59	K01845
maxbin2.spades.006_1_63	K07321
maxbin2.spades.006_1_64	K00198
maxbin2.spades.006_1_65	K14138
maxbin2.spades.006_1_66	K00197
maxbin2.spades.006_1_68	K07321
maxbin2.spades.006_1_69	K00194
maxbin2.spades.006_1_70	K00548
maxbin2.spades.006_1_70	K15023

maxbin2.spades.006_1_72	K00812
maxbin2.spades.006_1_72	K10907

maxbin2.spades.006_1_73	K07576
maxbin2.spades.006_1_75	K02086
maxbin2.spades.006_1_76	K02315
maxbin2.spades.006_1_77	K15024
maxbin2.spades.006_1_82	K01903
maxbin2.spades.006_1_83	K01902
maxbin2.spades.006_1_84	K01847
maxbin2.spades.006_1_84	K01848

maxbin2.spades.006_1_85	K01849
maxbin2.spades.006_1_86	K01759
maxbin2.spades.006_1_86	K05606

maxbin2.spades.006_1_87	K01966
maxbin2.spades.006_1_90	K01572
maxbin2.spades.006_1_91	K01677
maxbin2.spades.006_1_92	K01678
maxbin2.spades.006_1_96	K03787
maxbin2.spades.006_1_97	K06409
maxbin2.spades.006_1_98	K02355
maxbin2.spades.006_1_99	K00942
maxbin2.spades.006_1_109	K09118
maxbin2.spades.006_1_110	K00525
maxbin2.spades.006_1_112	K01091
maxbin2.spades.006_1_112	K06019

maxbin2.spades.006_1_115	K01447
maxbin2.spades.006_1_115	K01448

maxbin2.spades.006_1_116	K01356
maxbin2.spades.006_1_118	K06413
maxbin2.spades.006_1_119	K03666
maxbin2.spades.006_1_120	K00791
maxbin2.spades.006_1_121	K03572
maxbin2.spades.006_1_122	K03555
maxbin2.spades.006_1_123	K06168
maxbin2.spades.006_1_125	K07161
